SKU_GROUP,RETRUN_PCT,SIZE_TOO_BIG,SIZE_TOO_SMALL,XS_RETURN,XS_TOO_BIG,XS_TOO_SMALL,S_TOO_BIG,S_TOO_SMALL,M_TOO_BIG,M_TOO_SMALL,L_TOO_BIG,L_TOO_SMALL,XL_TOO_BIG,XL_TOO_SMALL,XXL_TOO_BIG,XXL_TOO_SMALL,XL3_TOO_BIG,XL3_TOO_SMALL,XL4_TOO_BIG,XL4_TOO_SMALL,XL5_TOO_BIG,XL5_TOO_SMALL,XL6_TOO_BIG,XL6_TOO_SMALL,XL7_TOO_BIG,XL7_TOO_SMALL,XL8_TOO_BIG,XL8_TOO_SMALL,CATEGORY,L1_CATEGORY,VENDOR,IMAGE_URL,ONLINE_INVENTORY,TOTAL_INVENTORY
4MSD3774-01,23,36,14,,,,37,10,38,10,35,11,44,18,21,33,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSD3774-01_1_4666ffa8-89d2-463e-b086-5c7fb6b9d315.jpg?v=1747056571,15,84
4MSD4041-03,22,50,8,,,,57,6,51,7,45,6,36,21,,,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSD4041-03_4_d4e997aa-0671-4eec-82c2-4bfb8cf65e4a.jpg?v=1750417974,418,806
4MSD4116-02,35,42,3,,,,36,3,45,3,40,5,48,4,,,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4msd4116-02_1.jpg?v=1759576219,2,2
4MSS3307-05,20,10,23,,,,2,51,3,34,10,7,23,2,26,16,,,,,,,,,,,,,Shirts,snitch,India-Nalanda,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/919517021d8a9bd5c38ab8ff701844f0.jpg?v=1726809585,12,20
4JE063-03,22,38,12,20,38,25,42,,38,5,33,33,60,,17,33,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4je063-03_1.jpg?v=1773338182,60,488
4MSD4062-01,23,25,8,15,,13,25,8,34,7,23,5,20,10,14,14,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1_265a41b2-09de-433c-8e58-816eae13d955.jpg?v=1766424560,17,95
4MSR5375-01,15,23,16,13,31,8,17,20,14,14,37,9,14,36,,40,,,,,,,,,,,,,Trousers,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSR5375-01-323.jpg?v=1771239168,444,538
4MSD3774-02,21,42,12,,,,48,10,41,8,38,16,51,8,33,21,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSD3774-02_1_3633b4b3-ea1d-482d-9e41-f57397179128.jpg?v=1749663213,4,30
4MSS4272-04,16,52,8,8,25,,57,9,47,16,53,2,62,3,42,17,,,,,,,,,,,,,Shirts,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4mss4272-04_1.jpg?v=1753807305,8,39
4MSS4753-01,16,36,5,7,100,,50,,21,7,50,8,25,,,,,,,,,,,,,,,,Shirts,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4mss4753-01_1.jpg?v=1773208477,62,145
4MSD4208-04,19,20,7,,,,22,11,25,10,25,,,,,,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1_5861eb8c-c571-4df5-ac74-6ff64bc0075f.jpg?v=1769102348,26,326
4MSD3864-01,23,37,6,,,,43,3,38,4,35,5,24,19,,,,,,,,,,,,,,,Jeans,snitch,India-M Square,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/60e3f1d53b54a1ddf2f6fe3f5558ed9b.jpg?v=1728986775,165,467
4MSD3667-05,24,7,21,,,,10,16,6,19,8,21,3,31,,,,,,,,,,,,,,,Jeans,snitch,,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSD3667-05-3274.jpg?v=1711341009,558,910
4MSS3430-02,16,16,21,24,,30,10,52,13,10,19,21,24,4,29,5,,,,,,,,,,,,,Shirts,snitch,India-Lohith Creations,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/099a979aa92db23e56977085033c2b3e.jpg?v=1728632025,0,0
4MBGSS1067-06,23,4,55,,,,,,,,,,,,,,2,63,,54,13,41,2,59,,,,,Shirts,plus,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MBGSS1067-06_1_07e3d38b-c7f3-4132-ac87-33246b5171cd.jpg?v=1740742128,5,5
4MSD4094-01,26,41,2,,,,44,,48,1,29,3,20,20,,,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4msd4094-01_1.jpg?v=1767808010,7,28
4MSS3183-01,18,33,9,,,,13,33,18,22,25,6,48,2,39,4,,,,,,,,,,,,,Shirts,snitch,India-Alagesh,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/8a0e85fb8aed09048293df5c325adad0.jpg?v=1727500383,3,3
4MSR5195-04,24,10,13,22,13,13,13,11,8,14,10,13,9,14,,,,,,,,,,,,,,,Trousers,snitch,India-Vintage,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/f37dee5b6d373c5c396a6efacbf513b3.jpg?v=1730367532,47,98
